 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    20        20 @Base/array.jl          194 size
    22         0 @Base/array.jl         1123 _growend!
    22         0 @Base/abstractarray.jl   98 axes
    24        24 @NCTSSoS/…mplification/pauli.jl  176 simplify!(::Type{PauliAlgebra}, w…
    25         6 @Base/sort.jl           840 _sort!(v::Vector{UInt8}, ::Base.S…
    25        25 @Base/array.jl            ? hash(A::Vector{UInt8}, h::UInt64)
    25        25 @Base/array.jl         1478 resize!(a::Vector{UInt8}, nl_::In…
    25         0 @NCTSSoS/…mplification/pauli.jl  163 simplify!(::Type{PauliAlgebra}, w…
    25        25 @Base/essentials.jl       ? _clifford_letter_image(g::Cliffor…
    25         0 @Base/operators.jl      425 >
    26         0 @NCTSSoS/…imization/symmetry.jl 1822 _lazy_orbit_reduce!(reducer::NCTS…
    26         0 @NCTSSoS/…imization/symmetry.jl 2149 _transformed_entry_from_sparse_su…
    26         0 @NCTSSoS/…imization/symmetry.jl  516 _act_monomial(g::CliffordSymmetry…
    27        19 @NCTSSoS/…mplification/pauli.jl   65 _validate_word(::Type{PauliAlgebr…
    27         0 @Base/abstractarray.jl  689 checkbounds
    27         0 @Base/abstractarray.jl  757 checkindex
    27         0 @Base/array.jl         1151 (::Base.var"#_growend!##0#_growen…
    27        27 @Base/boot.jl           594 memoryref
    27         0 @Base/genericmemory.jl  119 unsafe_copyto!
    27        27 @Base/boot.jl           595 memoryref
    29         0 @Base/int.jl           1015 -
    30         1 @Base/dict.jl           279 ht_keyindex2_shorthash!(h::Dict{N…
    31         8 @NCTSSoS/…imization/symmetry.jl 1823 _lazy_orbit_reduce!(reducer::NCTS…
    32         0 @Base/dict.jl           238 ht_keyindex(h::Dict{NormalMonomia…
    33        33 @NCTSSoS/…mplification/pauli.jl    ? _validate_word(::Type{PauliAlgebr…
    33         0 @Base/anyall.jl         130 _any
    33        13 @Base/array.jl         1130 _growend!
    35         0 @Base/abstractarray.jl 3579 hash(A::Vector{UInt8}, h::UInt64)
    35         0 @Base/dict.jl           168 rehash!(h::Dict{NormalMonomial{Pa…
    36         4 @NCTSSoS/…mplification/pauli.jl  185 simplify!(::Type{PauliAlgebra}, w…
    37         0 @Base/array.jl         1147 (::Base.var"#_growend!##0#_growen…
    38         0 @NCTSSoS/…imization/symmetry.jl 1851 _lazy_orbit_reduce!(reducer::NCTS…
    38         0 @Base/range.jl            5 Colon
    38         0 @Base/range.jl          415 UnitRange
    38        26 @Base/range.jl          426 unitrange_last
    40        29 @NCTSSoS/…mplification/pauli.jl  151 simplify!(::Type{PauliAlgebra}, w…
    41         0 @Base/array.jl          304 _copyto_impl!
    42         0 @Base/boot.jl           959 UInt8
    42         0 @Base/boot.jl           899 toUInt8
    42        42 @Base/boot.jl           837 checked_trunc_uint
    42        42 @Base/int.jl            378 |
    42         0 @NCTSSoS/…imization/symmetry.jl 1850 _lazy_orbit_reduce!(reducer::NCTS…
    43         4 @Base/array.jl         1122 _growend!
    43         0 @Base/dict.jl           337 _setindex!
    47        47 @Base/array.jl         1156 (::Base.var"#_growend!##0#_growen…
    47         0 @Base/dict.jl           363 setindex!(h::Dict{NormalMonomial{…
    48         1 @Base/dict.jl           255 ht_keyindex(h::Dict{NormalMonomia…
    49         0 @Base/dict.jl           356 setindex!(h::Dict{NormalMonomial{…
    50         0 @NCTSSoS/…mplification/pauli.jl  178 simplify!(::Type{PauliAlgebra}, w…
    51         0 @Base/operators.jl      472 >=
    52        15 @NCTSSoS/…mplification/pauli.jl    ? simplify!(::Type{PauliAlgebra}, w…
    53        26 @Base/abstractarray.jl  699 checkbounds
    55         0 @NCTSSoS/…mplification/pauli.jl  152 simplify!(::Type{PauliAlgebra}, w…
    56         0 @NCTSSoS/…mplification/pauli.jl   64 _validate_word(::Type{PauliAlgebr…
    56        56 @Base/anyall.jl         128 _any
    57         0 @Base/dict.jl           243 ht_keyindex(h::Dict{NormalMonomia…
    61         0 @NCTSSoS/…mplification/pauli.jl  162 simplify!(::Type{PauliAlgebra}, w…
    61         0 @NCTSSoS/src/util/helpers.jl  409 _pauli_type
    61        61 @Base/int.jl            302 rem
    61        61 @Base/essentials.jl     920 getindex
    62        62 @Base/array.jl         1131 (::Base.var"#_growend!##0#_growen…
    64         0 @Base/hashing.jl         47 hash_64_64
    66         0 @Base/array.jl         1152 (::Base.var"#_growend!##0#_growen…
    71         0 @Base/ordering.jl       118 lt
    71         0 @Base/operators.jl      477 isless
    72        72 @NCTSSoS/…imization/symmetry.jl  495 _clifford_letter_image(g::Cliffor…
    74         0 @Base/dict.jl           129 hashindex
    79         8 @NCTSSoS/…mplification/pauli.jl  156 simplify!(::Type{PauliAlgebra}, w…
    86        86 @Base/int.jl            520 <=
    87        32 @Base/dict.jl           504 get
    93         0 @Base/dict.jl           130 hashindex
    93         0 @Base/dict.jl           122 _shorthash7
    95        11 @NCTSSoS/…mplification/pauli.jl   58 _validate_word(::Type{PauliAlgebr…
    96         0 @Base/array.jl         2109 ==
    99         0 @Base/int.jl           1015 *
   103         0 @Base/array.jl         2110 ==
   105       105 @Base/int.jl              ? ht_keyindex(h::Dict{NormalMonomia…
   106       106 @Base/abstractarray.jl 3571 hash(A::Vector{UInt8}, h::UInt64)
   109       109 @Base/int.jl             88 *
   113         0 @NCTSSoS/src/types/monomial.jl  261 NormalMonomial
   113         0 @Base/reducedim.jl      989 any
   113         0 @Base/reducedim.jl      989 #any#756
   115         0 @Base/array.jl         1354 append!
   124       124 @NCTSSoS/…mplification/pauli.jl   57 _validate_word(::Type{PauliAlgebr…
   125         0 @Base/sort.jl           849 _sort!(v::Vector{UInt8}, ::Base.S…
   132       132 @Base/sort.jl             ? _sort!(v::Vector{UInt8}, ::Base.S…
   132       132 @Base/int.jl            327 ~
   153       150 @Base/sort.jl           852 _sort!(v::Vector{UInt8}, ::Base.S…
   155         0 @Base/hashing.jl         51 hash_64_64
