 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    20         0 @Base/dict.jl           268 ht_keyindex2_shorthash!(h::Dict{N…
    20         0 @NCTSSoS/…imization/symmetry.jl  511 _act_monomial(g::CliffordSymmetry…
    20         0 @SparseArrays/src/sparsevector.jl 1815 dot
    20         0 @SparseArrays/src/higherorderfns.jl  356 _map_zeropres!(f::SparseArrays.Hi…
    20         0 @Base/abstractdict.jl   526 ==(l::Dict{NormalMonomial{PauliAl…
    20         0 @Base/dict.jl           701 iterate
    20         8 @SymbolicWedderburn/…c/Characters/dixon.jl   61 _multiplicities(chars::Vector{Sym…
    20         0 @NCTSSoS/…imization/symmetry.jl  289 _assert_clifford_preserves_local_…
    21         0 @Base/array.jl         1487 resize!(a::Vector{NormalMonomial{…
    21         1 @Base/dict.jl           688 skip_deleted
    21         0 @Compiler/src/ssair/ir.jl 1955 iterate_compact(compact::Compiler…
    22         0 @NCTSSoS/…tion/moment_linear.jl   89 _assert_linear_moment_form_invari…
    22         0 @Base/array.jl         1293 _push!
    22         0 @Base/array.jl          322 copyto!
    22         0 @Base/abstractarray.jl 1591 dataids
    22        22 @Base/boot.jl           968 UInt64
    22        22 @Base/array.jl            ? _validate_word(::Type{PauliAlgebr…
    22         0 @Base/array.jl          319 copyto!
    22         0 @Base/array.jl          294 copyto!
    22         0 @Base/genericmemory.jl  137 unsafe_copyto!
    22         0 @Base/genericmemory.jl  158 unsafe_copyto!(dest::Memory{Float…
    22         0 @Compiler/src/ssair/passes.jl    5 is_known_call(x::Any, func::Any, …
    22         0 @Compiler/src/optimize.jl  417 argextype
    22         1 @Compiler/src/optimize.jl  418 argextype
    22         0 @Compiler/src/ssair/inlining.jl  663 batch_inline!(ir::Compiler.IRCode…
    22         0 @Compiler/…ractinterpretation.jl  735 abstract_call_method(interp::Comp…
    22        19 @NCTSSoS/…imization/symmetry.jl 2788 moment_relax_symmetric(pop::PolyO…
    22         0 @NCTSSoS/…imization/symmetry.jl 1761 _check_basis_closure(label::Strin…
    23         0 @Base/abstractarray.jl 2996 isequal
    23         0 @Base/sort.jl          1107 partition!(t::Vector{Pair{Vector{…
    23        23 @NCTSSoS/…mplification/pauli.jl    ? _sort!
    23         4 @NCTSSoS/…imization/symmetry.jl 2173 _transformed_entry_from_sparse_su…
    23         0 @Compiler/src/ssair/inlining.jl 1401 handle_call!
    23         0 @SparseArrays/src/solvers/spqr.jl  314 *
    23         0 @LinearAlgebra/src/LinearAlgebra.jl  499 copy_similar
    23         0 @Compiler/src/optimize.jl  453 argextype(x::Any, src::Compiler.I…
    24         5 @Base/array.jl         1130 _growend!
    24         0 @Base/dict.jl           325 _setindex!
    24        24 @NCTSSoS/…mplification/pauli.jl   97 _pauli_product
    24        24 @Base/boot.jl           879 getindex
